"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3311577,"September 20, 2025",Louisiana,Shreveport,"1600 block of Poland St",2,6,0,0,0,N/A
3308426,"September 15, 2025",Minnesota,Minneapolis,"28th Ave S and E Lake St",1,7,0,0,0,N/A
3297867,"August 30, 2025",Illinois,Chicago,"3500 block of S State St",0,7,0,0,0,N/A
3294737,"August 27, 2025",Minnesota,Minneapolis,"509 W 54th St",2,21,1,0,0,N/A
3294369,"August 26, 2025",Minnesota,Minneapolis,"E 29th St and Clinton Ave",1,6,0,0,1,N/A
3288282,"August 17, 2025","New York",Brooklyn,"903 Franklin Ave",1,11,2,0,0,N/A
3283977,"August 10, 2025",Mississippi,Jackson,"357 N Mart Plaza",0,8,0,0,0,N/A
3278590,"August 4, 2025",California,"Los Angeles","E 14th Pl and Paloma St",2,6,0,0,0,N/A
3273423,"July 28, 2025",Georgia,Atlanta,"349 Edgewood Ave",1,10,0,0,1,N/A
3272738,"July 27, 2025",Illinois,"Mount Vernon","600 block of S 15th St",2,5,0,0,3,N/A
3262173,"July 13, 2025",Texas,Houston,"6502 Dixie Dr",2,15,0,0,0,N/A
3254764,"July 7, 2025",Pennsylvania,Philadelphia,"1500 block of S Etting St",3,9,0,0,4,N/A
3253102,"July 5, 2025",Pennsylvania,Philadelphia,"1136 S 11th St",0,8,0,0,1,N/A
3253050,"July 5, 2025",Indiana,Indianapolis,"W Washington St and S Illinois St",2,5,0,0,4,N/A
3252972,"July 4, 2025",Illinois,Chicago,"4859 S Justine St",0,7,0,0,0,N/A
3251635,"July 2, 2025",Illinois,Chicago,"311 W Chicago Ave",4,14,0,0,0,N/A
3242627,"June 22, 2025",Louisiana,"Baton Rouge","3535 S Choctaw Dr",1,6,0,0,2,N/A
3242475,"June 21, 2025","South Carolina",Anderson,"2009 Scarborough Rd",1,9,0,0,3,N/A
3242658,"June 21, 2025",Oklahoma,Tulsa,"300 block of N Greenwood Ave",1,7,0,0,3,N/A
3238015,"June 16, 2025",Ohio,Cleveland,"5900 block of Luther Ave",1,6,0,0,0,N/A
3233803,"June 15, 2025",Indiana,Elkhart,"W Garfield Ave and Benham Ave",1,11,0,0,0,N/A
3233274,"June 14, 2025",Ohio,Columbus,"S Ludlow St and W Town St",1,6,0,0,0,N/A
3228035,"June 8, 2025",Ohio,Cleveland,"4071 Lee Rd",0,7,0,0,4,N/A
3228293,"June 8, 2025",Georgia,Lagrange,"105 Seminary St",1,6,0,0,0,N/A
3226727,"June 5, 2025",Texas,Dallas,"3412 S Malcolm X Blvd",0,7,0,0,0,N/A
3222953,"June 1, 2025","North Carolina",Hickory,"1125 Walnut Acres Dr",1,12,0,0,6,N/A
3223123,"May 31, 2025",Mississippi,Fayette,"1483 Main St",1,8,0,0,3,N/A
3222306,"May 31, 2025",Illinois,Chicago,"7800 block of S Throop St",0,7,0,0,0,N/A
3220578,"May 28, 2025",Washington,Lakewood,"8928 N Thorne Ln SW",0,7,0,0,1,N/A
3218775,"May 26, 2025",Pennsylvania,Philadelphia,"N Lemon Hill Dr and Sedgley Dr",2,9,0,0,0,N/A
3218025,"May 25, 2025","South Carolina","Little River","1522 Watson Ave",0,10,0,0,1,N/A
3217732,"May 25, 2025",Tennessee,"Oak Ridge","S Benedict Ave",0,9,0,0,0,N/A
3212178,"May 18, 2025",Georgia,Macon,"4376 Log Cabin Dr",3,6,0,0,3,N/A
3203064,"May 5, 2025",Oklahoma,"Oklahoma City","308 NW 10th St",0,7,0,0,3,N/A
3201117,"May 4, 2025",Texas,Houston,"6000 block of Cherry Hill Ave",1,15,0,0,0,N/A
3201936,"May 4, 2025",Arizona,Glendale,"6729 N 57th Dr",3,5,0,0,0,N/A
3195885,"April 26, 2025","South Carolina","Myrtle Beach","913 N Ocean Blvd",0,11,1,0,0,N/A
3187190,"April 17, 2025",Florida,Tallahassee,"75 N Woodward Ave",2,5,0,1,1,N/A
3184200,"April 13, 2025",Arkansas,Conway,"600 5th Ave",2,9,0,0,4,N/A
3183722,"April 12, 2025",Texas,Crosby,"13203 Crosby Lynchburg Rd",1,6,0,0,0,N/A
3180141,"April 8, 2025",Virginia,Fredericksburg,"415 Olde Greenwich Cir",3,3,0,1,5,N/A
3173790,"March 29, 2025","South Carolina",Orangeburg,"1175 Five Chop Rd",0,7,0,0,1,N/A
3166540,"March 22, 2025",Mississippi,Jackson,"Lamar St and Pearl St",1,7,0,0,3,N/A
3166052,"March 21, 2025","New Mexico","Las Cruces","850 S Walnut St",3,15,0,0,4,N/A
3152667,"March 4, 2025",Louisiana,Mamou,"Ballpark Rd",2,12,0,0,1,N/A
3135132,"February 9, 2025",California,"Woodland Hills","5850 Winnetka Ave",1,6,0,0,0,N/A
3129663,"January 31, 2025",California,"Los Angeles","13200 block of Jarvis Avenue",2,5,0,0,0,N/A
3124977,"January 26, 2025",Texas,Amarillo,"709 S Polk St",1,8,0,0,1,N/A
3122078,"January 22, 2025",Texas,"San Antonio","18777 Stone Oak Pkwy",0,7,1,0,0,N/A
3107148,"January 1, 2025","New York","Corona (Queens)","91-12 144th Pl",0,10,0,0,0,N/A
3106647,"January 1, 2025",Illinois,Kankakee,"1845 Pierson Pkwy",2,5,0,0,0,N/A
3106379,"January 1, 2025",Louisiana,"New Orleans","Bourbon St and Iberville St",1,7,1,0,0,N/A
3104385,"December 28, 2024",California,"Signal Hill","1005 E Burnett St",1,6,0,0,0,N/A
3103407,"December 28, 2024",Louisiana,Vacherie,"5877 LA-18",0,7,0,0,0,N/A
3102259,"December 26, 2024",Georgia,Macon,"1085 Triple Hill Dr",1,6,0,0,0,N/A
3096143,"December 17, 2024",Maryland,Towson,"8521 Loch Raven Blvd",1,8,0,0,0,N/A
3094796,"December 16, 2024",Wisconsin,Madison,"4901 E Buckeye Rd",2,6,1,0,0,N/A
3088976,"December 6, 2024",Alabama,Theodore,"5375 Laurendine Rd",1,6,0,0,0,N/A
3085310,"December 2, 2024",Illinois,Chicago,"3511 W 59th St",3,5,0,0,2,N/A
3115822,"November 24, 2024",Illinois,Venice,"1426 Broadway",0,12,0,0,1,N/A
3074150,"November 17, 2024",Louisiana,"New Orleans","1841 Almonaster Ave",0,9,0,1,1,N/A
3068250,"November 10, 2024",Alabama,Tuskegee,"1200 W Montgomery Rd",1,15,0,0,2,N/A
3063027,"November 3, 2024",Michigan,Detroit,"6300 block of Devereaux St",2,5,0,0,3,N/A
3061364,"November 1, 2024",Florida,Orlando,"E Central Blvd and N Orange Ave",2,7,0,0,1,N/A
3052028,"October 20, 2024",Tennessee,Jackson,"2310 N Highland Ave",1,8,0,0,1,N/A
3051041,"October 19, 2024",Pennsylvania,Philadelphia,"2517 N Jessup St",0,7,0,0,0,N/A
3051689,"October 19, 2024",Indiana,"Fort Wayne","4911 Manistee Dr",0,10,1,0,0,N/A
3050940,"October 19, 2024",Mississippi,Lexington,"24904 MS-17",3,8,0,0,0,N/A
3047310,"October 12, 2024",Georgia,Elberton,"Evergreen Dr",1,7,0,0,8,N/A
3045998,"October 12, 2024",Tennessee,Nashville,"Jefferson St and 27th Ave",0,7,1,2,4,N/A
3045675,"October 12, 2024",Oklahoma,"Oklahoma City","5878 S Agnew Ave",1,11,0,3,3,N/A
3030761,"September 21, 2024",Illinois,Chicago,"2500 block of S Spaulding Ave",1,6,0,0,0,N/A
3030531,"September 21, 2024",Alabama,Birmingham,"2012 Magnolia Ave",4,17,0,0,2,N/A
3024007,"September 14, 2024",Texas,Houston,"4901 Laura Koppe Rd",3,8,0,0,3,N/A
3014703,"September 4, 2024",Georgia,Winder,"940 Haymon Morris Rd",4,7,0,0,1,N/A
2998845,"August 18, 2024",Maryland,Baltimore,"1300 block of N Spring St",1,7,0,0,1,N/A
2986327,"August 4, 2024",Oklahoma,Tulsa,"2605 MLK Jr Blvd",0,8,0,0,0,N/A
